refseq_peptide	description	rgd_id	uniprot_gn_id
NP_001000195	olfactory receptor family 2 subfamily AG member 2B	1333691	A0A8I5YC84
NP_001000196	olfactory receptor family 13 subfamily N member 4	1334173	A0A8I6ACQ4
NP_001000197	olfactory receptor family 2 subfamily AG member 19	1333664	M0RDA9
NP_001000198	olfactory receptor family 2 subfamily AG member 20	1333866	D3ZT49
NP_001000199	olfactory receptor family 2 subfamily AG member 1	1332882	D3ZRU1
NP_001000200	olfactory receptor family 2 subfamily D member 3C	1334043	D4A8F8
NP_001000201	olfactory receptor family 2 subfamily D member 4	1333443	D4ABA2
NP_001000202	olfactory receptor family 6 subfamily B member 9	1333522	D4ABA1
NP_001000203	olfactory receptor family 10 subfamily A member 5	1332598	F1M8E2
NP_001000204	olfactory receptor family 2 subfamily D member 36B	1333075	M0RE20
NP_001000205	olfactory receptor family 10 subfamily A member 2	1334002	D4A9W9
NP_001000206	olfactory receptor family 10 subfamily A member 4	1333909	F1M571
NP_001000207	olfactory receptor family 2 subfamily D member 2B	1333500	D4A0B9
NP_001000208	olfactory receptor family 2 subfamily D member 36	1333621	D3ZN10
NP_001000209	olfactory receptor family 5 subfamily P member 5B	1333421	F1LUC6
NP_001000210	olfactory receptor family 5 subfamily P member 50	1333336	D3ZB06
NP_001000211	olfactory receptor family 5 subfamily P member 5	1334219	D3ZNI0
NP_001000213	olfactory receptor family 5 subfamily P member 56	1332645	D3ZST0
NP_001000214	olfactory receptor family 5 subfamily P member 6	1332781	D3ZAS4
NP_001000215	olfactory receptor family 10 subfamily AB member 4	1334180	D3ZL33
NP_001000216	olfactory receptor family 5 subfamily P member 4	1334008	D3ZS23
NP_001000217	olfactory receptor family 5 subfamily P member 6B	1334362	D3ZVZ0
NP_001000218	olfactory receptor family 5 subfamily P member 66B	1333255	D3ZNU6
NP_001000219	olfactory receptor family 5 subfamily P member 60B	1332743	D3ZAS5
NP_001000220	olfactory receptor family 5 subfamily P member 72	1332928	M0RAZ5
NP_001000221	olfactory receptor family 5 subfamily P member 68	1334168	D4ADA4
NP_001000222	olfactory receptor family 5 subfamily P member 66	1333441	D4ACV1
NP_001000223	olfactory receptor family 10 subfamily A member 48B, pseudogene 1	1334387	A0A8I6AIF4
NP_001000224	olfactory receptor family 10 subfamily A member 3	1333752	D4ADK2
NP_001000225	olfactory receptor family 10 subfamily A member 3C	1333752	F1M488
NP_001000226	olfactory receptor family 5 subfamily P member 76	1332769	A0A8I6A3M8
NP_001000227	olfactory receptor family 5 subfamily P member 81	1333605	A0A0G2KAK5
NP_001000228	olfactory receptor family 5 subfamily P member 69B	1332813	M0R529
NP_001000229	olfactory receptor family 5 subfamily P member 69	1333728	A0A0G2K9E7
NP_001000230	olfactory receptor family 5 subfamily P member 79	1333977	A0A0G2JWZ6
NP_001000231	olfactory receptor family 6 subfamily B member 13	1333358	A0A8I5ZV16
NP_001000232	olfactory receptor family 12 subfamily J member 2	1333185	A0A0G2JTA8
NP_001000233	olfactory receptor family 13 subfamily A member 27	1333577	A0A8I6A7Y3
NP_001000234	olfactory receptor family 12 subfamily J member 3	1333199	D3ZHU1
NP_001000235	olfactory receptor family 12 subfamily J member 2B	1334051	A0A0G2K0L2
NP_001000236	olfactory receptor family 13 subfamily A member 19C	1333828	A0A8I5Y7C5
NP_001000237	olfactory receptor family 12 subfamily J member 4	1333923	A0A8I6B0Y0
NP_001000238	olfactory receptor family 13 subfamily A member 27B	1332644	A0A8I6GHW5
NP_001000239	olfactory receptor family 12 subfamily J member 5	1333730	D4A7A7
NP_001000240	olfactory receptor family 13 subfamily A member 18	1333124	A0A8I6ABX6
NP_001000241	olfactory receptor family 13 subfamily A member 18B	1334216	A0A8I6A959
NP_001000242	olfactory receptor family 13 subfamily A member 27E	1333577	D3ZZZ2
NP_001000243	olfactory receptor family 13 subfamily A member 26	1333353	A0A8I6GKD3
NP_001000244	olfactory receptor family 4 subfamily D member 11	1334346	D3ZT13
NP_001000245	olfactory receptor family 4 subfamily D member 10C	1333126	D3ZSJ4
NP_001000246	olfactory receptor family 4 subfamily Z member 4	1333150	D3ZSJ2
NP_001000247	olfactory receptor family 4 subfamily D member 6	1333601	D3ZSJ1
NP_001000248	olfactory receptor family 5 subfamily A member 1	1333796	D3ZSJ0
NP_001000249	olfactory receptor family 5 subfamily BB member 12	1333219	D3ZSI9
NP_001000250	olfactory receptor family 5 subfamily A member 21	1333575	D3ZGU4
NP_001000251	olfactory receptor family 5 subfamily AN member 9	1334070	D3ZC12
NP_001000252	olfactory receptor family 5 subfamily B member 95	1334154	D4A4W0
NP_001000253	olfactory receptor family 5 subfamily B member 12B	1334063	D3ZPS2
NP_001000254	olfactory receptor family 5 subfamily B member 12	1334374	A0A0G2K3N7
NP_001000255	olfactory receptor family 5 subfamily B member 99	1333625	M0R5Y3
NP_001000256	olfactory receptor family 5 subfamily B member 105	1332654	A0A8I5ZT69
NP_001000257	olfactory receptor family 5 subfamily B member 123B	1333477	A0A0G2K3R9
NP_001000258	olfactory receptor family 5 subfamily B member 124	1333922	A0A8I6A0I9, A0A8I6GIS9
NP_001000259	olfactory receptor family 10 subfamily Q member 12	1333045	D3ZQB2
NP_001000260	olfactory receptor family 1 subfamily S member 2	1333888	F1LV45
NP_001000261	olfactory receptor family 9 subfamily Q member 1	1334108	D4ADY4
NP_001000262	olfactory receptor family 9 subfamily I member 2	1333181	A0A8I5ZUY5
NP_001000263	olfactory receptor family 9 subfamily I member 1B	1333930	D4ACB1
NP_001000264	olfactory receptor family 7 subfamily R member 1	1333290	D3ZQG4
NP_001000266	olfactory receptor family 2 subfamily J member 3	1333177	F1M7K2
NP_001000267	olfactory receptor family 2 subfamily N member 1E	1332634	A0A0G2JY37, A0A8I5ZQA4
NP_001000268	olfactory receptor family 2 subfamily N member 1G	1332701	D3ZLA9
NP_001000269	olfactory receptor family 2 subfamily N member 1	1333502	A0A8I5ZXR6
NP_001000270	olfactory receptor family 2 subfamily H member 15	1334222	D3ZKK7
NP_001000271	olfactory receptor family 14 subfamily J member 3B	1333667	M0R7F9
NP_001000272	olfactory receptor family 2 subfamily G member 1	1333191	D4ACX6
NP_001000273	olfactory receptor family 14 subfamily J member 5B	1332763	A0A8I6A8I3
NP_001000274	olfactory receptor family 14 subfamily J member 5	1333813	A0A8I5ZRZ4
NP_001000275	olfactory receptor family 14 subfamily J member 5E	1333186	M0RCD3
NP_001000276	olfactory receptor family 14 subfamily J member 3D	1332733	A0A8I5ZJP2
NP_001000277	olfactory receptor family 1 subfamily O member 11C	1334019	A0A8I6A1Q4
NP_001000279	olfactory receptor family 5 subfamily V member 1B	1334062	A0A8I6A2T4
NP_001000281	olfactory receptor family 5 subfamily AK member 22	1333498	D3ZS20
NP_001000282	olfactory receptor 440	1334273	A0A8I6AIS7
NP_001000283	olfactory receptor family 5 subfamily AK member 24	1333144	D3ZGH1
NP_001000284	olfactory receptor family 5 subfamily AK member 25	1332704	Q62943
NP_001000285	olfactory receptor family 5 subfamily G member 27	1332940	M0R7U8
NP_001000286	olfactory receptor family 5 subfamily G member 24	1333128	D3Z984
NP_001000287	olfactory receptor family 5 subfamily G member 25	1333343	D3ZGL9
NP_001000288	olfactory receptor family 9 subfamily G member 4	1334313	A0A0G2K620
NP_001000289	olfactory receptor family 5 subfamily G member 9	1333910	A0A0G2K1I3
NP_001000290	olfactory receptor family 9 subfamily G member 10	1333692	A0A0G2K5Q1
NP_001000291	olfactory receptor family 9 subfamily G member 3	1334426	D3ZDL4
NP_001000292	olfactory receptor family 9 subfamily G member 4B	1333797	A0A8I5ZYS2
NP_001000293	olfactory receptor family 9 subfamily G member 20	1332820	D3ZVQ4
NP_001000294	olfactory receptor family 2 subfamily AH member 1	1333928	A0A0G2K408
NP_001000295	olfactory receptor family 5 subfamily AR member 1	1333623	D3ZD44
NP_001000296	olfactory receptor family 5 subfamily AP member 2B	1332819	A0A0G2JYX3
NP_001000297	olfactory receptor family 5 subfamily M member 10B	1333556	A0A0G2JUK9
NP_001000298	olfactory receptor family 5 subfamily M member 10	1332636	A0A0G2JY57
NP_001000299	olfactory receptor family 5 subfamily M member 13B	1333537	A0A8I5ZKI5, D3Z9W6
NP_001000300	olfactory receptor family 5 subfamily M member 11	1332745	D3ZNG2
NP_001000301	olfactory receptor family 5 subfamily M member 8	1333400	M0R659
NP_001000302	olfactory receptor family 5 subfamily M member 3	1332991	D3ZQI2
NP_001000303	olfactory receptor family 8 subfamily U member 10	1332926	D3ZAV6
NP_001000304	olfactory receptor family 8 subfamily U member 3	1332967	D3Z9Z6
NP_001000305	olfactory receptor family 5 subfamily AL member 5B	1334269	D3ZAC2
NP_001000306	olfactory receptor family 8 subfamily J member 3	1333455	D3ZA98
NP_001000308	olfactory receptor family 8 subfamily K member 20	1333129	D4ACZ8
NP_001000309	olfactory receptor family 8 subfamily K member 23	1332829	M0R479
NP_001000310	olfactory receptor family 8 subfamily J member 3B	1333916	A0A0G2K3I7
NP_001000311	olfactory receptor family 8 subfamily K member 30B	1332911	A0A0G2JU54
NP_001000312	olfactory receptor family 5 subfamily T member 7	1333222	A0A0G2K4I6
NP_001000313	olfactory receptor family 8 subfamily K member 39	1333066	M0RBD6
NP_001000314	olfactory receptor family 8 subfamily K member 40	1333259	D4AD42
NP_001000315	olfactory receptor family 5 subfamily T member 5	1333988	D3ZEE3
NP_001000316	olfactory receptor family 5 subfamily T member 18	1334333	M0R432
NP_001000317	olfactory receptor family 5 subfamily T member 9	1333653	D4ADG8
NP_001000318	olfactory receptor family 5 subfamily T member 5B	1334112	A0A8I5Y0J0
NP_001000319	olfactory receptor family 8 subfamily H member 7	1333410	A0A8I5Y101
NP_001000320	olfactory receptor family 5 subfamily J member 1	1333285	D3ZTP7
NP_001000321	olfactory receptor family 5 subfamily AQ member 1B	1333789	D3Z9F3
NP_001000322	olfactory receptor family 5 subfamily AQ member 1B	1332922	D3Z7Y3
NP_001000323	olfactory receptor family 12 subfamily E member 1	1333825	M0RBX0
NP_001000325	olfactory receptor family 10 subfamily AG member 57	1333686	D4A841
NP_001000326	olfactory receptor family 8 subfamily W member 1B	1333049	A0A8I6A2Y5
NP_001000327	olfactory receptor family 5 subfamily W member 11	1334372	D3ZRJ4
NP_001000328	olfactory receptor family 8 subfamily W member 1	1333225	A0A8I6ARJ4
NP_001000329	olfactory receptor family 5 subfamily I member 1	1333671	F1M660
NP_001000330	olfactory receptor family 12 subfamily E member 10	1334027	M0RD58
NP_001000331	olfactory receptor family 5 subfamily W member 19	1333538	D3ZQB3
NP_001000333	olfactory receptor family 5 subfamily L member 14B	1333645	D4A9G7
NP_001000334	olfactory receptor family 5 subfamily D member 14	1332951	D4A607
NP_001000335	olfactory receptor family 5 subfamily D member 20	1334192	D4AD73
NP_001000336	olfactory receptor family 5 subfamily D member 41	1333420	D3ZV51
NP_001000337	olfactory receptor family 5 subfamily D member 40	1332979	A0A8I6A1W7
NP_001000338	olfactory receptor family 4 subfamily P member 7	1334429	A0A8I5Y9P6
NP_001000339	olfactory receptor family 4 subfamily P member 20B	1332640	D3ZPT6
NP_001000340	olfactory receptor family 4 subfamily P member 22E	1333746	A0A0G2K4B1
NP_001000341	olfactory receptor family 4 subfamily C member 103	1333415	A0A8I6AK70
NP_001000342	olfactory receptor 655	1334339	A0A8I5ZYU3
NP_001000343	olfactory receptor family 4 subfamily C member 104	1332707	D3ZAC9
NP_001000344	olfactory receptor family 4 subfamily A member 66B	1332849	D4A5X3
NP_001000345	olfactory receptor family 4 subfamily C member 105	1334176	A0A8I5ZK29
NP_001000346	olfactory receptor family 4 subfamily C member 15	1333985	A0A8I5ZY07
NP_001000347	olfactory receptor family 4 subfamily C member 107	1333650	D3Z7Z1
NP_001000348	olfactory receptor family 4 subfamily C member 108B	1332842	D4ABH8
NP_001000349	olfactory receptor family 4 subfamily C member 109	1334218	A0A0G2K3S0
NP_001000350	olfactory receptor family 4 subfamily C member 112	1333913	A0A8I5ZQ61
NP_001000351	olfactory receptor 673	1333808	A0A8I6G4H7
NP_001000352	olfactory receptor family 4 subfamily C member 114	1333042	A0A8I6AF69
NP_001000353	olfactory receptor family 4 subfamily C member 116	1333756	A0A0G2K6U0
NP_001000354	olfactory receptor family 4 subfamily C member 117	1332811	A0A8I6A892
NP_001000355	olfactory receptor family 4 subfamily C member 120	1334069	D3ZCA5
NP_001000356	olfactory receptor family 4 subfamily C member 121	1333660	A0A0G2K2L5, A0A8I6A6K1, A0A8I6AF51
NP_001000357	olfactory receptor family 4 subfamily C member 1	1333350	D3ZQ19
NP_001000359	olfactory receptor 703	1332977	A0A8I6GAX7
NP_001000360	olfactory receptor family 4 subfamily A member 77C	1332997	A0A8I6AAI7
NP_001000362	olfactory receptor family 4 subfamily C member 58	1332655	D3Z928
NP_001000363	olfactory receptor 726	1334281	D3ZU34
NP_001000364	olfactory receptor family 4 subfamily C member 3E	1332947	D3ZAM8
NP_001000365	olfactory receptor family 4 subfamily F member 53	1334379	A0A8I6AFQ8
NP_001000366	olfactory receptor family 4 subfamily K member 35	1333604	D3ZTF2
NP_001000368	olfactory receptor family 4 subfamily K member 37	1333545	A0A8I6A6U1
NP_001000372	olfactory receptor family 4 subfamily K member 49	1332807	A0A8I5ZZW0
NP_001000373	olfactory receptor family 4 subfamily K member 52	1332850	A0A8I6AIF3
NP_001000374	olfactory receptor family 4 subfamily K member 48B	1333829	D4A755
NP_001000375	olfactory receptor family 4 subfamily F member 57	1334408	D3ZL13
NP_001000376	olfactory receptor family 4 subfamily F member 6	1332734	D3ZS60
NP_001000378	olfactory receptor family 4 subfamily F member 47	1333491	A0A8I6AMV3
NP_001000380	olfactory receptor family 1 subfamily J member 16B	1334157	A0A8I5ZWD8
NP_001000381	olfactory receptor family 1 subfamily J member 15	1332955	D3ZBT1
NP_001000382	olfactory receptor family 1 subfamily J member 16	1334217	A0A8I6AI95
NP_001000383	olfactory receptor family 1 subfamily J member 12B	1333812	M0R8V9
NP_001000384	olfactory receptor family 1 subfamily J member 13C	1333536	D3ZVZ1
NP_001000385	olfactory receptor family 1 subfamily J member 4	1332682	D3Z9I7
NP_001000386	olfactory receptor family 1 subfamily J member 20	1333209	M0RCY9
NP_001000387	olfactory receptor family 1 subfamily N member 1B	1334305	Q62942
